placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/98001,98001,2015,71555,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98002,98002,2015,45078,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98003,98003,2015,46250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98004,98004,2015,102374,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98005,98005,2015,88940,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98006,98006,2015,113778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98007,98007,2015,79579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98008,98008,2015,86005,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98010,98010,2015,71563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98011,98011,2015,76961,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98014,98014,2015,98011,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98019,98019,2015,96630,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98022,98022,2015,62842,https://www.unitedstateszipcodes.org/98022
zip/98023,98023,2015,72303,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98024,98024,2015,112308,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98027,98027,2015,102025,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98028,98028,2015,90588,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98029,98029,2015,100725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98030,98030,2015,52713,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98031,98031,2015,67793,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98032,98032,2015,49591,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98033,98033,2015,105449,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98034,98034,2015,81694,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98038,98038,2015,96134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98039,98039,2015,174063,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98040,98040,2015,126106,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98042,98042,2015,89352,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98045,98045,2015,93380,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98051,98051,2015,84096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98052,98052,2015,106468,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98053,98053,2015,120970,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98055,98055,2015,61736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98056,98056,2015,73330,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98057,98057,2015,42775,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98058,98058,2015,82134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98059,98059,2015,93918,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98065,98065,2015,120814,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98070,98070,2015,71820,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98072,98072,2015,107900,https://www.unitedstateszipcodes.org/98072
zip/98074,98074,2015,145262,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98075,98075,2015,150301,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98077,98077,2015,137900,https://www.unitedstateszipcodes.org/98077
zip/98092,98092,2015,74144,https://www.unitedstateszipcodes.org/98092
zip/98101,98101,2015,51159,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98102,98102,2015,75155,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98103,98103,2015,81330,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98104,98104,2015,32568,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98105,98105,2015,49647,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98106,98106,2015,53848,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98107,98107,2015,77170,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98108,98108,2015,53143,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98109,98109,2015,85957,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98112,98112,2015,103816,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98115,98115,2015,92039,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98116,98116,2015,77781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98117,98117,2015,92316,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98118,98118,2015,55725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98119,98119,2015,73794,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98121,98121,2015,73874,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98122,98122,2015,60563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98125,98125,2015,54561,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98126,98126,2015,68342,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98133,98133,2015,53836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98134,98134,2015,52981,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98136,98136,2015,90625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98144,98144,2015,62633,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98146,98146,2015,58429,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98148,98148,2015,46871,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98155,98155,2015,75839,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98164,98164,2015,85670,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98166,98166,2015,66323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98168,98168,2015,49188,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98177,98177,2015,92938,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98178,98178,2015,60839,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98188,98188,2015,42965,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98198,98198,2015,55845,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98199,98199,2015,87486,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98224,98224,2015,34861,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/98288,98288,2015,29063,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
